iter	Passed	Remaining
0	16	16943
1	22	11219
2	29	9654
3	35	8745
4	41	8356
5	49	8130
6	55	7838
7	61	7618
8	66	7357
9	72	7226
10	79	7113
11	85	7037
12	91	6953
13	97	6863
14	103	6818
15	109	6754
16	117	6784
17	122	6702
18	128	6631
19	135	6634
20	141	6601
21	150	6675
22	156	6631
23	163	6630
24	168	6588
25	175	6559
26	181	6552
27	188	6552
28	194	6522
29	200	6494
30	207	6501
31	214	6485
32	220	6450
33	226	6447
34	233	6439
35	241	6471
36	248	6461
37	254	6438
38	259	6401
39	267	6417
40	278	6516
41	285	6506
42	291	6486
43	297	6470
44	303	6451
45	309	6426
46	316	6412
47	323	6408
48	331	6432
49	338	6425
50	344	6410
51	350	6388
52	356	6371
53	362	6348
54	370	6366
55	377	6364
56	383	6348
57	389	6322
58	395	6302
59	402	6313
60	408	6295
61	416	6297
62	422	6281
63	428	6267
64	434	6255
65	440	6235
66	447	6227
67	453	6214
68	459	6200
69	466	6195
70	472	6179
71	478	6164
72	483	6144
73	490	6137
74	497	6130
75	503	6122
76	510	6120
77	516	6105
78	522	6090
79	530	6098
80	536	6083
81	541	6060
82	547	6044
83	553	6037
84	560	6037
85	567	6030
86	573	6016
87	579	6001
88	584	5984
89	590	5972
90	596	5960
91	602	5950
92	608	5932
93	614	5922
94	622	5933
95	628	5922
96	634	5909
97	640	5899
98	646	5888
99	655	5898
100	662	5892
101	667	5879
102	674	5869
103	680	5861
104	686	5854
105	692	5840
106	698	5830
107	704	5815
108	712	5822
109	720	5826
110	726	5815
111	732	5804
112	738	5795
113	744	5787
114	751	5785
115	759	5784
116	764	5772
117	770	5758
118	777	5755
119	787	5772
120	793	5760
121	799	5750
122	805	5740
123	811	5731
124	817	5721
125	823	5709
126	828	5698
127	835	5691
128	842	5689
129	848	5681
130	855	5673
131	861	5662
132	867	5652
133	873	5642
134	879	5632
135	885	5622
136	893	5625
137	900	5623
138	909	5635
139	916	5628
140	922	5617
141	927	5605
142	933	5594
143	940	5590
144	946	5582
145	952	5572
146	958	5560
147	964	5552
148	972	5553
149	978	5543
150	984	5535
151	991	5530
152	998	5530
153	1005	5521
154	1011	5515
155	1017	5505
156	1024	5500
157	1032	5502
158	1040	5505
159	1047	5498
160	1053	5492
161	1060	5485
162	1066	5478
163	1072	5468
164	1079	5461
165	1085	5452
166	1091	5442
167	1099	5447
168	1105	5437
169	1111	5426
170	1118	5420
171	1123	5410
172	1131	5406
173	1136	5395
174	1142	5387
175	1148	5375
176	1153	5363
177	1160	5359
178	1166	5350
179	1192	5430
180	1197	5418
181	1203	5411
182	1209	5398
183	1214	5386
184	1219	5372
185	1225	5361
186	1231	5352
187	1237	5345
188	1243	5335
189	1248	5322
190	1254	5314
191	1261	5309
192	1267	5300
193	1272	5288
194	1278	5277
195	1283	5263
196	1290	5259
197	1295	5246
198	1301	5238
199	1307	5230
200	1312	5219
201	1319	5213
202	1325	5203
203	1331	5193
204	1336	5183
205	1342	5173
206	1347	5163
207	1354	5156
208	1359	5145
209	1364	5134
210	1369	5122
211	1374	5110
212	1379	5097
213	1385	5089
214	1391	5078
215	1397	5072
216	1403	5064
217	1409	5054
218	1416	5051
219	1422	5043
220	1427	5031
221	1432	5020
222	1438	5010
223	1444	5004
224	1451	4998
225	1456	4988
226	1462	4979
227	1467	4968
228	1472	4957
229	1478	4950
230	1483	4939
231	1491	4938
232	1497	4928
233	1502	4917
234	1507	4906
235	1513	4898
236	1519	4892
237	1524	4881
238	1529	4870
239	1535	4862
240	1541	4854
241	1548	4849
242	1553	4840
243	1559	4831
244	1564	4821
245	1569	4810
246	1575	4802
247	1580	4793
248	1585	4782
249	1590	4771
250	1596	4764
251	1602	4756
252	1608	4749
253	1614	4741
254	1619	4730
255	1625	4723
256	1667	4819
257	1674	4814
258	1678	4802
259	1683	4790
260	1687	4778
261	1692	4767
262	1696	4755
263	1703	4748
264	1708	4738
265	1713	4727
266	1720	4722
267	1725	4712
268	1730	4703
269	1737	4697
270	1742	4687
271	1748	4679
272	1753	4669
273	1759	4660
274	1764	4651
275	1770	4643
276	1775	4633
277	1780	4623
278	1785	4614
279	1790	4604
280	1797	4600
281	1804	4594
